"","output_year","country","le","hale","the","rn","year.x","md","year.y","yld"
"1","1990","AUT",75.708,65.787,4517,9.384,2003,3.378,2003,9.92099999999999
"2","1990","BEL",75.916,65.733,4058,5.829,2003,2.073,2005,10.183
"3","1990","BGR",71.386,62.495,1088,4.778,2012,3.76,2010,8.891
"4","1990","CYP",78.026,67.1,2284,3.639,1990,1.761,1990,10.926
"5","1990","DEU",75.367,65.307,4426,9.72,2003,3.369,2003,10.06
"6","1990","DNK",75.16,65.299,4545,14.342,1994,2.9,1994,9.86099999999999
"7","1990","ESP",76.914,67.461,3026,4.033,1990,3.784,1990,9.453
"8","1990","EST",69.839,60.984,1300,8.842,2000,4.475,2000,8.855
"9","1990","FIN",75.088,63.846,3297,15.086,2002,3.165,2002,11.242
"10","1990","FRA",77.067,66.519,4039,5.594,1991,3.077,1991,10.548
"11","1990","GBR",75.651,65.427,3223,12.208,1997,2.3,1997,10.224
"12","1990","GRC",76.919,66.509,2685,3.864,2000,4.38,2001,10.41
"13","1990","HUN",69.381,60.191,1701,8.847,2003,3.173,1990,9.19
"14","1990","IRL",74.827,65.244,3796,15.197,2004,2.786,2004,9.583
"15","1990","ITA",76.951,66.715,3162,5.44,2003,4.203,2004,10.236
"16","1990","LUX",75.309,65.192,6521,12.611,2013,2.9,2013,10.117
"17","1990","LVA",69.767,60.45,1145,6.867,1990,4.609,1990,9.31699999999999
"18","1990","MLT",77.193,66.577,2327,6.631,2009,3.073,2009,10.616
"19","1990","NLD",77.017,66.543,5063,8.382,2008,3.149,2003,10.474
"20","1990","POL",70.897,61.539,1432,4.895,2003,2.469,2003,9.358
"21","1990","PRT",74.261,64.384,2810,4.16,2002,3.359,2002,9.877
"22","1990","ROU",69.858,60.876,964,0.179,2002,1.925,2002,8.98200000000001
"23","1990","SVK",70.959,61.236,2039,6.385,2009,3.179,2003,9.72300000000001
"24","1990","SWE",77.637,66.814,3762,10.235,2002,3.284,2002,10.823
